업소명,소재지주소,영업상태명,지정일자,지정취소일자,재지정일자
본가원조닭한마리,서울특별시 중구 초동 54-0 ,영업,20120529,20211220.0,20201104.0
미도리회집,서울특별시 중구 남산동3가 13-20 ,영업,20010813,,20241120.0
동해,서울특별시 중구 봉래동1가 5-41 지하1층 ,영업,20010813,,20241120.0
명동돈까스,서울특별시 중구 명동1가 59-13 ,영업,20010813,20151109.0,20061222.0
옥돌정,서울특별시 중구 묵정동 30-25 ,영업,20020417,20211220.0,20201104.0
남원추어탕,서울특별시 중구 을지로5가 79-1 ,영업,20120529,,20241120.0
강서면옥,서울특별시 중구 서소문동 120-15 ,영업,20010813,,20241120.0
월매네남원추어탕,서울특별시 중구 서소문동 51-2 ,영업,20020417,,20241120.0
권명옥 가마솥 나주곰탕,서울특별시 중구 다동 50 ,영업,20010813,20161214.0,20151109.0
오신정,서울특별시 중구 충무로3가 23-3 ,영업,20120529,,20241120.0
풍문고기집,서울특별시 중구 남대문로5가 84-9 1층 ,영업,20020417,20211220.0,20201104.0
곰국시집,"서울특별시 중구 무교동 12-1 (지상2,3층) ",영업,20010813,,20241120.0
원당감자탕,서울특별시 중구 충무로1가 25-33 ,영업,20190905,20221229.0,20211220.0
서울의 달,서울특별시 중구 북창동 88-2 ,영업,20121221,,20241120.0
전주풍남회관,서울특별시 중구 태평로1가 62-7 ,영업,20031013,,20241120.0
시안,서울특별시 중구 서소문동 58-7 동화    1호,영업,20140210,20221229.0,20211220.0
일품향,서울특별시 중구 명동2가 105 중정 도서관빌딩 2층 ,영업,20190905,20211220.0,20201104.0
명동중앙점 왕비집,서울특별시 중구 충무로1가 25-6 2층 ,영업,20130715,,20241120.0
우림정,서울특별시 중구 서소문동 120-29 ,영업,20061222,,20241120.0
우래옥,서울특별시 중구 주교동 118-1 ,영업,20010813,,20241120.0
왕비집 육호점,서울특별시 중구 명동2가 95-1 동호수90번지 ,영업,20130715,,20241120.0
림왕돈까스,서울특별시 중구 예장동 8-108 ,영업,20140210,,20241120.0
중일회관,서울특별시 중구 명동1가 54-17 ,영업,20201104,,20241120.0
유정식당,"서울특별시 중구 신당동 217-111 (지상1층,2층) ",영업,20071218,20221229.0,20211220.0
평양면옥,"서울특별시 중구 장충동1가 26-14 , 26 - 32 (1층) ",영업,20010813,,20241120.0
너비집,서울특별시 중구 을지로2가 199-73 ,영업,20151109,,20241120.0
서울뚝배기,서울특별시 중구 충무로3가 24-11 ,영업,20010813,,20241120.0
송정,서울특별시 중구 광희동1가 38-1 ,영업,20010813,,20241120.0
광화문 양갈비,서울특별시 중구 태평로1가 62-7 ,영업,20121221,,20241120.0
내림손 삼계탕,서울특별시 중구 을지로6가 18-40 지상2층 ,영업,20140210,,20241120.0
참치공방,서울특별시 중구 남대문로1가 22-10 2층 ,영업,20171215,20221229.0,20211220.0
투뿔한우 우미옥,서울특별시 중구 명동2가 2-9 ,영업,20181213,20211220.0,20201104.0
원할머니보쌈.족발 본점,서울특별시 중구 황학동 1685 황학동 원할머니보쌈 사옥 ,영업,20031013,,20241120.0
필동면옥,서울특별시 중구 필동3가 1-5 ,영업,20010813,,20241120.0
효담칼국수 닭한마리,서울특별시 중구 명동1가 59-25 ,영업,20120529,20250807.0,20231214.0
목포낙지,서울특별시 중구 신당동 292-37 ,영업,20071218,,20241120.0
삼원,서울특별시 중구 무교동 1 지하1층 ,영업,20010813,,20241120.0
만다리,서울특별시 중구 신당동 333-67 ,영업,20010813,,20241120.0
서울복집,서울특별시 중구 명동1가 54-16 ,영업,20111222,20181213.0,20161214.0
"명동부대찌개, 황기족발",서울특별시 중구 명동1가 54-7 ,영업,20110628,,20241120.0
금강보글보글섞어찌게,서울특별시 중구 을지로2가 199-61 ,영업,20010813,20211220.0,20201104.0
(주)조선호텔앤리조트 스시조,서울특별시 중구 소공동 87-1 조선호텔 (18층) ,영업,20010813,,20241120.0
왕비집,서울특별시 중구 충무로2가 63-3 2층 ,영업,20130715,,20241120.0
왕비집,서울특별시 중구 명동1가 34-1 ,영업,20130715,20221229.0,20211220.0
명동중일회관,서울특별시 중구 남산동1가 6-7 ,영업,20201104,,20241120.0
강산복집,"서울특별시 중구 황학동 805 중앙시티빌 2층(201,202,203호) ",영업,20010813,,20241120.0
이화고려정,"서울특별시 중구 순화동 6-13 (지하1층,지상1층~3층) ",영업,20151109,20211220.0,20201104.0
내림손삼계탕,서울특별시 중구 수하동 39-2 ,영업,20111222,20250807.0,20221229.0
오양회참치,서울특별시 중구 태평로1가 76-3 ,영업,20101112,,20241120.0
동대닭한마리,서울특별시 중구 필동3가 10-2 ,영업,20121221,,20241120.0
